id,colour,gene
ENSG00000000419,greenyellow,DPM1
ENSG00000000938,turquoise,FGR
ENSG00000001631,brown,KRIT1
ENSG00000002330,black,BAD
ENSG00000002549,green,LAP3
ENSG00000002834,turquoise,LASP1
ENSG00000002919,black,SNX11
ENSG00000003137,turquoise,CYP26B1
ENSG00000003402,brown,CFLAR
ENSG00000003436,blue,TFPI
ENSG00000003756,brown,RBM5
ENSG00000003989,blue,SLC7A2
ENSG00000004142,black,POLDIP2
ENSG00000004399,green,PLXND1
ENSG00000004534,brown,RBM6
ENSG00000004660,brown,CAMKK1
ENSG00000004779,black,NDUFAB1
ENSG00000004866,purple,ST7
ENSG00000004939,turquoise,SLC4A1
ENSG00000004975,black,DVL2
ENSG00000005108,blue,THSD7A
ENSG00000005194,black,CIAPIN1
ENSG00000005243,green,COPZ2
ENSG00000005486,black,RHBDD2
ENSG00000005812,blue,FBXL3
ENSG00000005844,turquoise,ITGAL
ENSG00000005893,black,LAMP2
ENSG00000006042,green,TMEM98
ENSG00000006075,turquoise,CCL3
ENSG00000006118,black,TMEM132A
ENSG00000006327,black,TNFRSF12A
ENSG00000006459,greenyellow,KDM7A
ENSG00000006534,turquoise,ALDH3B1
ENSG00000006625,pink,GGCT
ENSG00000006659,blue,LGALS14
ENSG00000006712,blue,PAF1
ENSG00000006837,brown,CDKL3
ENSG00000007047,turquoise,MARK4
ENSG00000007255,black,TRAPPC6A
ENSG00000007392,brown,LUC7L
ENSG00000007541,black,PIGQ
ENSG00000007944,black,MYLIP
ENSG00000007968,turquoise,E2F2
ENSG00000008130,black,NADK
ENSG00000008283,black,CYB561
ENSG00000008311,brown,AASS
ENSG00000008323,black,PLEKHG6
ENSG00000008394,turquoise,MGST1
ENSG00000008441,turquoise,NFIX
ENSG00000008513,black,ST3GAL1
ENSG00000008952,blue,SEC62
ENSG00000009413,brown,REV3L
ENSG00000009950,brown,MLXIPL
ENSG00000010017,blue,RANBP9
ENSG00000010256,black,UQCRC1
ENSG00000010278,turquoise,CD9
ENSG00000010327,green,STAB1
ENSG00000010610,green,CD4
ENSG00000010810,turquoise,FYN
ENSG00000011009,black,LYPLA2
ENSG00000011028,turquoise,MRC2
ENSG00000011198,black,ABHD5
ENSG00000011258,brown,MBTD1
ENSG00000011422,turquoise,PLAUR
ENSG00000011426,pink,ANLN
ENSG00000011465,turquoise,DCN
ENSG00000011566,blue,MAP4K3
ENSG00000011600,green,TYROBP
ENSG00000011638,green,TMEM159
ENSG00000012232,turquoise,EXTL3
ENSG00000012983,brown,MAP4K5
ENSG00000013275,black,PSMC4
ENSG00000013374,greenyellow,NUB1
ENSG00000013441,brown,CLK1
ENSG00000013588,turquoise,GPRC5A
ENSG00000013810,green,TACC3
ENSG00000014216,black,CAPN1
ENSG00000014641,black,MDH1
ENSG00000015285,green,WAS
ENSG00000015676,black,NUDCD3
ENSG00000017797,blue,RALBP1
ENSG00000018189,brown,RUFY3
ENSG00000019582,green,CD74
ENSG00000019995,blue,ZRANB1
ENSG00000020577,turquoise,SAMD4A
ENSG00000022277,black,RTFDC1
ENSG00000023171,black,GRAMD1B
ENSG00000023191,black,RNH1
ENSG00000024422,turquoise,EHD2
ENSG00000024526,pink,DEPDC1
ENSG00000025708,green,TYMP
ENSG00000025770,black,NCAPH2
ENSG00000025800,black,KPNA6
ENSG00000026025,turquoise,VIM
ENSG00000026297,turquoise,RNASET2
ENSG00000027697,black,IFNGR1
ENSG00000029363,greenyellow,BCLAF1
ENSG00000029364,black,SLC39A9
ENSG00000029534,turquoise,ANK1
ENSG00000029993,purple,HMGB3
ENSG00000030110,salmon,BAK1
ENSG00000030419,blue,IKZF2
ENSG00000030582,black,GRN
ENSG00000032219,brown,ARID4A
ENSG00000032444,black,PNPLA6
ENSG00000033100,black,CHPF2
ENSG00000033170,black,FUT8
ENSG00000033867,turquoise,SLC4A7
ENSG00000035403,turquoise,VCL
ENSG00000035664,brown,DAPK2
ENSG00000035862,black,TIMP2
ENSG00000036530,brown,CYP46A1
ENSG00000037280,blue,FLT4
ENSG00000038210,brown,PI4K2B
ENSG00000038219,brown,BOD1L1
ENSG00000038945,turquoise,MSR1
ENSG00000039560,blue,RAI14
ENSG00000040633,black,PHF23
ENSG00000041353,turquoise,RAB27B
ENSG00000041982,turquoise,TNC
ENSG00000042062,brown,FAM65C
ENSG00000042493,turquoise,CAPG
ENSG00000042753,black,AP2S1
ENSG00000042980,turquoise,ADAM28
ENSG00000046651,brown,OFD1
ENSG00000047188,brown,YTHDC2
ENSG00000047249,black,ATP6V1H
ENSG00000047410,brown,TPR
ENSG00000047597,turquoise,XK
ENSG00000047644,purple,WWC3
ENSG00000047849,green,MAP4
ENSG00000048140,green,TSPAN17
ENSG00000048649,brown,RSF1
ENSG00000048828,purple,FAM120A
ENSG00000049540,green,ELN
ENSG00000049656,black,CLPTM1L
ENSG00000050165,turquoise,DKK3
ENSG00000050344,pink,NFE2L3
ENSG00000050393,blue,MCUR1
ENSG00000050438,brown,SLC4A8
ENSG00000051108,purple,HERPUD1
ENSG00000051128,green,HOMER3
ENSG00000051180,pink,RAD51
ENSG00000052344,black,PRSS8
ENSG00000052841,blue,TTC17
ENSG00000053371,black,AKR7A2
ENSG00000053524,brown,MCF2L2
ENSG00000053747,turquoise,LAMA3
ENSG00000054116,black,TRAPPC3
ENSG00000054148,black,PHPT1
ENSG00000054267,brown,ARID4B
ENSG00000054277,black,OPN3
ENSG00000054654,brown,SYNE2
ENSG00000055044,brown,NOP58
ENSG00000055070,black,SZRD1
ENSG00000056097,blue,ZFR
ENSG00000056972,black,TRAF3IP2
ENSG00000057252,turquoise,SOAT1
ENSG00000057294,purple,PKP2
ENSG00000058085,turquoise,LAMC2
ENSG00000058262,black,SEC61A1
ENSG00000058272,brown,PPP1R12A
ENSG00000058673,blue,ZC3H11A
ENSG00000059377,green,TBXAS1
ENSG00000059378,turquoise,PARP12
ENSG00000059728,blue,MXD1
ENSG00000059804,turquoise,SLC2A3
ENSG00000060069,black,CTDP1
ENSG00000060339,brown,CCAR1
ENSG00000060558,green,GNA15
ENSG00000060642,black,PIGV
ENSG00000061936,brown,SFSWAP
ENSG00000061987,brown,MON2
ENSG00000062038,pink,CDH3
ENSG00000062725,blue,APPBP2
ENSG00000063245,black,EPN1
ENSG00000063601,blue,MTMR1
ENSG00000064042,purple,LIMCH1
ENSG00000064225,black,ST3GAL6
ENSG00000064490,black,RFXANK
ENSG00000064601,black,CTSA
ENSG00000064652,blue,SNX24
ENSG00000064666,turquoise,CNN2
ENSG00000065154,green,OAT
ENSG00000065308,black,TRAM2
ENSG00000065328,pink,MCM10
ENSG00000065361,blue,ERBB3
ENSG00000065427,black,KARS
ENSG00000065485,turquoise,PDIA5
ENSG00000065548,blue,ZC3H15
ENSG00000065613,greenyellow,SLK
ENSG00000065615,brown,CYB5R4
ENSG00000065618,turquoise,COL17A1
ENSG00000065621,turquoise,GSTO2
ENSG00000065882,blue,TBC1D1
ENSG00000065911,green,MTHFD2
ENSG00000065989,turquoise,PDE4A
ENSG00000066084,blue,DIP2B
ENSG00000066279,pink,ASPM
ENSG00000066322,black,ELOVL1
ENSG00000066336,green,SPI1
ENSG00000066455,blue,GOLGA5
ENSG00000066735,green,KIF26A
ENSG00000066855,blue,MTFR1
ENSG00000066923,brown,STAG3
ENSG00000066933,blue,MYO9A
ENSG00000067057,turquoise,PFKP
ENSG00000067182,black,TNFRSF1A
ENSG00000067225,purple,PKM
ENSG00000067704,black,IARS2
ENSG00000067798,brown,NAV3
ENSG00000068366,blue,ACSL4
ENSG00000068438,turquoise,FTSJ1
ENSG00000068697,black,LAPTM4A
ENSG00000068796,purple,KIF2A
ENSG00000068912,blue,ERLEC1
ENSG00000069020,purple,MAST4
ENSG00000069424,turquoise,KCNAB2
ENSG00000069431,brown,ABCC9
ENSG00000069493,brown,CLEC2D
ENSG00000069667,blue,RORA
ENSG00000069702,blue,TGFBR3
ENSG00000069812,black,HES2
ENSG00000069849,black,ATP1B3
ENSG00000069869,brown,NEDD4
ENSG00000069956,blue,MAPK6
ENSG00000069966,turquoise,GNB5
ENSG00000070081,blue,NUCB2
ENSG00000070214,black,SLC44A1
ENSG00000070404,purple,FSTL3
ENSG00000070413,black,DGCR2
ENSG00000070423,black,RNF126
ENSG00000070601,brown,FRMPD1
ENSG00000070770,purple,CSNK2A2
ENSG00000071082,black,RPL31
ENSG00000071205,turquoise,ARHGAP10
ENSG00000071655,black,MBD3
ENSG00000071889,black,FAM3A
ENSG00000071967,turquoise,CYBRD1
ENSG00000072042,blue,RDH11
ENSG00000072071,green,LPHN1
ENSG00000072080,brown,SPP2
ENSG00000072110,turquoise,ACTN1
ENSG00000072310,black,SREBF1
ENSG00000072415,blue,MPP5
ENSG00000072422,blue,RHOBTB1
ENSG00000072518,black,MARK2
ENSG00000072571,pink,HMMR
ENSG00000072952,turquoise,MRVI1
ENSG00000072958,black,AP1M1
ENSG00000073111,salmon,MCM2
ENSG00000073605,brown,GSDMB
ENSG00000073711,blue,PPP2R3A
ENSG00000073792,greenyellow,IGF2BP2
ENSG00000074319,black,TSG101
ENSG00000074590,turquoise,NUAK1
ENSG00000074695,blue,LMAN1
ENSG00000074696,black,PTPLAD1
ENSG00000074842,black,C19orf10
ENSG00000074935,brown,TUBE1
ENSG00000074966,blue,TXK
ENSG00000075218,pink,GTSE1
ENSG00000075223,turquoise,SEMA3C
ENSG00000075275,turquoise,CELSR1
ENSG00000075292,brown,ZNF638
ENSG00000075391,blue,RASAL2
ENSG00000075407,brown,ZNF37A
ENSG00000075415,black,SLC25A3
ENSG00000075420,blue,FNDC3B
ENSG00000075568,blue,TMEM131
ENSG00000075624,turquoise,ACTB
ENSG00000075702,brown,WDR62
ENSG00000075790,blue,BCAP29
ENSG00000076003,pink,MCM6
ENSG00000076513,blue,ANKRD13A
ENSG00000076662,green,ICAM3
ENSG00000076706,turquoise,MCAM
ENSG00000076716,turquoise,GPC4
ENSG00000076770,blue,MBNL3
ENSG00000077147,blue,TM9SF3
ENSG00000077232,brown,DNAJC10
ENSG00000077264,blue,PAK3
ENSG00000077274,blue,CAPN6
ENSG00000077420,turquoise,APBB1IP
ENSG00000077458,brown,FAM76B
ENSG00000077463,black,SIRT6
ENSG00000077721,blue,UBE2A
ENSG00000077782,turquoise,FGFR1
ENSG00000078061,black,ARAF
ENSG00000078114,blue,NEBL
ENSG00000078124,blue,ACER3
ENSG00000078177,greenyellow,N4BP2
ENSG00000078246,greenyellow,TULP3
ENSG00000078401,turquoise,EDN1
ENSG00000078403,brown,MLLT10
ENSG00000078795,brown,PKD2L2
ENSG00000078808,black,SDF4
ENSG00000078814,brown,MYH7B
ENSG00000078902,black,TOLLIP
ENSG00000079134,brown,THOC1
ENSG00000079308,green,TNS1
ENSG00000079805,purple,DNM2
ENSG00000079950,greenyellow,STX7
ENSG00000079999,black,KEAP1
ENSG00000080189,black,SLC35C2
ENSG00000080345,greenyellow,RIF1
ENSG00000080608,greenyellow,KIAA0020
ENSG00000080802,greenyellow,CNOT4
ENSG00000080822,greenyellow,CLDND1
ENSG00000080823,brown,MOK
ENSG00000080947,brown,CROCCP3
ENSG00000081087,blue,OSTM1
ENSG00000081665,brown,ZNF506
ENSG00000081913,blue,PHLPP1
ENSG00000082196,brown,C1QTNF3
ENSG00000082258,brown,CCNT2
ENSG00000082269,greenyellow,FAM135A
ENSG00000082438,blue,COBLL1
ENSG00000082458,purple,DLG3
ENSG00000082996,black,RNF13
ENSG00000083067,brown,TRPM3
ENSG00000083168,greenyellow,KAT6A
ENSG00000083223,greenyellow,ZCCHC6
ENSG00000083307,black,GRHL2
ENSG00000083520,greenyellow,DIS3
ENSG00000083642,brown,PDS5B
ENSG00000083807,brown,SLC27A5
ENSG00000083845,black,RPS5
ENSG00000083896,greenyellow,YTHDC1
ENSG00000083937,blue,CHMP2B
ENSG00000084207,black,GSTP1
ENSG00000084623,black,EIF3I
ENSG00000084636,turquoise,COL16A1
ENSG00000084693,black,AGBL5
ENSG00000085063,black,CD59
ENSG00000085265,turquoise,FCN1
ENSG00000085563,blue,ABCB1
ENSG00000085741,turquoise,WNT11
ENSG00000085998,black,POMGNT1
ENSG00000086061,blue,DNAJA1
ENSG00000086062,blue,B4GALT1
ENSG00000086065,black,CHMP5
ENSG00000086159,brown,AQP6
ENSG00000086289,turquoise,EPDR1
ENSG00000086300,blue,SNX10
ENSG00000086544,black,ITPKC
ENSG00000086570,turquoise,FAT2
ENSG00000086589,blue,RBM22
ENSG00000086730,turquoise,LAT2
ENSG00000087008,black,ACOX3
ENSG00000087111,black,PIGS
ENSG00000087116,turquoise,ADAMTS2
ENSG00000087152,black,ATXN7L3
ENSG00000087245,turquoise,MMP2
ENSG00000087253,turquoise,LPCAT2
ENSG00000087266,purple,SH3BP2
ENSG00000087338,blue,GMCL1
ENSG00000087502,greenyellow,ERGIC2
ENSG00000087510,black,TFAP2C
ENSG00000087884,green,AAMDC
ENSG00000088256,black,GNA11
ENSG00000088280,turquoise,ASAP3
ENSG00000088325,pink,TPX2
ENSG00000088826,turquoise,SMOX
ENSG00000088827,green,SIGLEC1
ENSG00000088882,turquoise,CPXM1
ENSG00000089048,brown,ESF1
ENSG00000089057,black,SLC23A2
ENSG00000089127,green,OAS1
ENSG00000089157,black,RPLP0
ENSG00000089159,green,PXN
ENSG00000089280,brown,FUS
ENSG00000089486,green,CDIP1
ENSG00000089597,black,GANAB
ENSG00000089682,brown,RBM41
ENSG00000089685,pink,BIRC5
ENSG00000089693,black,MLF2
ENSG00000089820,green,ARHGAP4
ENSG00000089876,black,DHX32
ENSG00000090006,green,LTBP4
ENSG00000090054,blue,SPTLC1
ENSG00000090061,brown,CCNK
ENSG00000090266,black,NDUFB2
ENSG00000090339,green,ICAM1
ENSG00000090382,turquoise,LYZ
ENSG00000090432,black,MUL1
ENSG00000090520,blue,DNAJB11
ENSG00000090686,brown,USP48
ENSG00000090863,black,GLG1
ENSG00000090889,pink,KIF4A
ENSG00000090905,brown,TNRC6A
ENSG00000091106,turquoise,NLRC4
ENSG00000091483,black,FH
ENSG00000091490,pink,SEL1L3
ENSG00000091542,black,ALKBH5
ENSG00000091651,brown,ORC6
ENSG00000091947,black,TMEM101
ENSG00000091972,blue,CD200
ENSG00000091986,turquoise,CCDC80
ENSG00000092295,turquoise,TGM1
ENSG00000092470,pink,WDR76
ENSG00000092531,black,SNAP23
ENSG00000092820,black,EZR
ENSG00000092929,black,UNC13D
ENSG00000092931,black,MFSD11
ENSG00000092964,turquoise,DPYSL2
ENSG00000093009,pink,CDC45
ENSG00000093167,greenyellow,LRRFIP2
ENSG00000094755,brown,GABRP
ENSG00000094804,pink,CDC6
ENSG00000094914,black,AAAS
ENSG00000095059,black,DHPS
ENSG00000095303,green,PTGS1
ENSG00000095564,greenyellow,BTAF1
ENSG00000095787,greenyellow,WAC
ENSG00000095970,green,TREM2
ENSG00000096063,blue,SRPK1
ENSG00000096080,black,MRPS18A
ENSG00000096384,blue,HSP90AB1
ENSG00000096696,purple,DSP
ENSG00000096746,brown,HNRNPH3
ENSG00000099203,black,TMED1
ENSG00000099308,turquoise,MAST3
ENSG00000099331,turquoise,MYO9B
ENSG00000099341,black,PSMD8
ENSG00000099364,black,FBXL19
ENSG00000099715,blue,PCDH11Y
ENSG00000099795,black,NDUFB7
ENSG00000099797,black,TECR
ENSG00000099812,turquoise,MISP
ENSG00000099817,black,POLR2E
ENSG00000099849,purple,RASSF7
ENSG00000099864,green,PALM
ENSG00000099904,green,ZDHHC8
ENSG00000099910,black,KLHL22
ENSG00000099942,purple,CRKL
ENSG00000099953,black,MMP11
ENSG00000099956,black,SMARCB1
ENSG00000099968,black,BCL2L13
ENSG00000099992,black,TBC1D10A
ENSG00000100028,greenyellow,SNRPD3
ENSG00000100055,green,CYTH4
ENSG00000100058,brown,CRYBB2P1
ENSG00000100138,black,NHP2L1
ENSG00000100196,turquoise,KDELR3
ENSG00000100216,black,TOMM22
ENSG00000100219,black,XBP1
ENSG00000100220,black,RTCB
ENSG00000100227,black,POLDIP3
ENSG00000100234,turquoise,TIMP3
ENSG00000100284,black,TOM1
ENSG00000100297,salmon,MCM5
ENSG00000100316,black,RPL3
ENSG00000100319,black,ZMAT5
ENSG00000100320,turquoise,RBFOX2
ENSG00000100345,green,MYH9
ENSG00000100365,green,NCF4
ENSG00000100385,turquoise,IL2RB
ENSG00000100412,black,ACO2
ENSG00000100425,greenyellow,BRD1
ENSG00000100427,green,MLC1
ENSG00000100461,black,RBM23
ENSG00000100485,blue,SOS2
ENSG00000100503,blue,NIN
ENSG00000100554,black,ATP6V1D
ENSG00000100564,black,PIGH
ENSG00000100591,blue,AHSA1
ENSG00000100612,green,DHRS7
ENSG00000100614,blue,PPM1A
ENSG00000100632,black,ERH
ENSG00000100650,brown,SRSF5
ENSG00000100697,greenyellow,DICER1
ENSG00000100784,purple,RPS6KA5
ENSG00000100804,black,PSMB5
ENSG00000100815,greenyellow,TRIP11
ENSG00000100842,black,EFS
ENSG00000100926,black,TM9SF1
ENSG00000100941,brown,PNN
ENSG00000100949,black,RABGGTA
ENSG00000100979,green,PLTP
ENSG00000100983,black,GSS
ENSG00000100985,turquoise,MMP9
ENSG00000100997,black,ABHD12
ENSG00000101000,black,PROCR
ENSG00000101003,pink,GINS1
ENSG00000101017,turquoise,CD40
ENSG00000101084,black,C20orf24
ENSG00000101144,pink,BMP7
ENSG00000101146,black,RAE1
ENSG00000101166,blue,SLMO2
ENSG00000101182,black,PSMA7
ENSG00000101189,black,MRGBP
ENSG00000101224,green,CDC25B
ENSG00000101236,turquoise,RNF24
ENSG00000101335,turquoise,MYL9
ENSG00000101336,green,HCK
ENSG00000101337,black,TM9SF4
ENSG00000101444,black,AHCY
ENSG00000101448,brown,EPPIN
ENSG00000101474,black,APMAP
ENSG00000101577,black,LPIN2
ENSG00000101596,brown,SMCHD1
ENSG00000101680,brown,LAMA1
ENSG00000101745,brown,ANKRD12
ENSG00000101842,brown,VSIG1
ENSG00000101849,pink,TBL1X
ENSG00000101871,purple,MID1
ENSG00000101888,blue,NXT2
ENSG00000101901,brown,ALG13
ENSG00000101911,turquoise,PRPS2
ENSG00000101916,green,TLR8
ENSG00000101935,blue,AMMECR1
ENSG00000101951,pink,PAGE4
ENSG00000101986,black,ABCD1
ENSG00000102007,turquoise,PLP2
ENSG00000102032,green,RENBP
ENSG00000102098,blue,SCML2
ENSG00000102100,black,SLC35A2
ENSG00000102181,black,CD99L2
ENSG00000102189,greenyellow,EEA1
ENSG00000102241,blue,HTATSF1
ENSG00000102265,turquoise,TIMP1
ENSG00000102287,brown,GABRE
ENSG00000102362,turquoise,SYTL4
ENSG00000102409,blue,BEX4
ENSG00000102471,black,NDFIP2
ENSG00000102531,blue,FNDC3A
ENSG00000102547,turquoise,CAB39L
ENSG00000102554,blue,KLF5
ENSG00000102572,purple,STK24
ENSG00000102580,blue,DNAJC3
ENSG00000102595,brown,UGGT2
ENSG00000102710,brown,SUPT20H
ENSG00000102743,turquoise,SLC25A15
ENSG00000102755,purple,FLT1
ENSG00000102780,brown,DGKH
ENSG00000102879,green,CORO1A
ENSG00000102886,turquoise,GDPD3
ENSG00000102978,black,POLR2C
ENSG00000102996,black,MMP15
ENSG00000103051,black,COG4
ENSG00000103064,pink,SLC7A6
ENSG00000103222,turquoise,ABCC1
ENSG00000103249,black,CLCN7
ENSG00000103257,black,SLC7A5
ENSG00000103313,turquoise,MEFV
ENSG00000103335,green,PIEZO1
ENSG00000103363,black,TCEB2
ENSG00000103494,brown,RPGRIP1L
ENSG00000103502,black,CDIPT
ENSG00000103507,black,BCKDK
ENSG00000103510,black,KAT8
ENSG00000103546,black,SLC6A2
ENSG00000103549,black,RNF40
ENSG00000103569,turquoise,AQP9
ENSG00000103978,blue,TMEM87A
ENSG00000104093,brown,DMXL2
ENSG00000104142,black,VPS18
ENSG00000104154,turquoise,SLC30A4
ENSG00000104164,brown,BLOC1S6
ENSG00000104177,brown,MYEF2
ENSG00000104325,turquoise,DECR1
ENSG00000104327,brown,CALB1
ENSG00000104331,blue,IMPAD1
ENSG00000104332,turquoise,SFRP1
ENSG00000104375,blue,STK3
ENSG00000104412,greenyellow,EMC2
ENSG00000104419,purple,NDRG1
ENSG00000104472,blue,CHRAC1
ENSG00000104517,greenyellow,UBR5
ENSG00000104626,blue,ERI1
ENSG00000104738,black,MCM4
ENSG00000104765,purple,BNIP3L
ENSG00000104783,black,KCNN4
ENSG00000104805,black,NUCB1
ENSG00000104853,black,CLPTM1
ENSG00000104894,green,CD37
ENSG00000104903,green,LYL1
ENSG00000104904,black,OAZ1
ENSG00000104964,black,AES
ENSG00000104970,brown,KIR3DX1
ENSG00000104979,black,C19orf53
ENSG00000104998,turquoise,IL27RA
ENSG00000105011,pink,ASF1B
ENSG00000105063,black,PPP6R1
ENSG00000105135,black,ILVBL
ENSG00000105136,greenyellow,ZNF419
ENSG00000105137,purple,SYDE1
ENSG00000105198,blue,LGALS13
ENSG00000105223,black,PLD3
ENSG00000105246,black,EBI3
ENSG00000105325,black,FZR1
ENSG00000105357,turquoise,MYH14
ENSG00000105372,black,RPS19
ENSG00000105392,brown,CRX
ENSG00000105393,black,BABAM1
ENSG00000105402,black,NAPA
ENSG00000105404,black,RABAC1
ENSG00000105429,green,MEGF8
ENSG00000105438,black,KDELR1
ENSG00000105492,purple,SIGLEC6
ENSG00000105552,black,BCAT2
ENSG00000105568,black,PPP2R1A
ENSG00000105583,black,WDR83OS
ENSG00000105619,black,TFPT
ENSG00000105640,black,RPL18A
ENSG00000105650,brown,PDE4C
ENSG00000105669,black,COPE
ENSG00000105671,black,DDX49
ENSG00000105677,black,TMEM147
ENSG00000105699,black,LSR
ENSG00000105701,black,FKBP8
ENSG00000105711,green,SCN1B
ENSG00000105792,brown,C7orf63
ENSG00000105821,brown,DNAJC2
ENSG00000105825,black,TFPI2
ENSG00000105829,blue,BET1
ENSG00000105835,turquoise,NAMPT
ENSG00000105851,turquoise,PIK3CG
ENSG00000105856,black,HBP1
ENSG00000105879,greenyellow,CBLL1
ENSG00000105887,black,MTPN
ENSG00000105928,pink,DFNA5
ENSG00000105953,black,OGDH
ENSG00000105974,turquoise,CAV1
ENSG00000106052,blue,TAX1BP1
ENSG00000106086,blue,PLEKHA8
ENSG00000106153,black,CHCHD2
ENSG00000106258,brown,CYP3A5
ENSG00000106266,black,SNX8
ENSG00000106299,blue,WASL
ENSG00000106344,brown,RBM28
ENSG00000106346,greenyellow,USP42
ENSG00000106348,green,IMPDH1
ENSG00000106351,black,AGFG2
ENSG00000106400,black,ZNHIT1
ENSG00000106443,brown,PHF14
ENSG00000106460,blue,TMEM106B
ENSG00000106462,pink,EZH2
ENSG00000106524,blue,ANKMY2
ENSG00000106526,blue,ACTR3C
ENSG00000106546,blue,AHR
ENSG00000106588,black,PSMA2
ENSG00000106603,brown,COA1
ENSG00000106615,blue,RHEB
ENSG00000106624,turquoise,AEBP1
ENSG00000106638,black,TBL2
ENSG00000106682,black,EIF4H
ENSG00000106714,turquoise,CNTNAP3
ENSG00000106723,blue,SPIN1
ENSG00000106772,turquoise,PRUNE2
ENSG00000106780,turquoise,MEGF9
ENSG00000106785,turquoise,TRIM14
ENSG00000106789,purple,CORO2A
ENSG00000106809,turquoise,OGN
ENSG00000106976,brown,DNM1
ENSG00000106993,greenyellow,CDC37L1
ENSG00000107077,brown,KDM4C
ENSG00000107130,turquoise,NCS1
ENSG00000107175,black,CREB3
ENSG00000107560,greenyellow,RAB11FIP2
ENSG00000107581,blue,EIF3A
ENSG00000107679,blue,PLEKHA1
ENSG00000107736,brown,CDH23
ENSG00000107738,black,C10orf54
ENSG00000107771,blue,CCSER2
ENSG00000107789,black,MINPP1
ENSG00000107796,turquoise,ACTA2
